,types,complaints,Commnet,cleanmsg
392,Relationships,My boyfriend says he needs time to think about us,,boyfriend say need time think
393,Stress/Anxiety,How can I talk to my psychologist about upping my dose of Xanax?,,talk psychologist dose xanax
394,Social Relationships,How can I stop being jealous of my best friend's boyfriend?,,stop jealous best friend boyfriend
395,Behavioral Change,How do I deal with OCD?,,deal ocd
396,Self-esteem,I Sometimes I feel like I hate myself,,sometimes feel hate
397,Anger Management,How do I tell my spouse to stop getting angry when I am just being myself?,,tell spouse stop get angry
398,Family Conflict,How am I supposed to feel when I forgive someone?,,suppose feel forgive someone
399,Relationship Dissolution,My parents are getting a divorce and I feel depressed,,parent get divorce feel depressed
400,Relationships,My boyfriend is always accusing me of not loving him,,boyfriend always accuse love
401,Self-esteem,How do I forgive myself for past mistakes?,,forgive past mistake
402,Family Conflict,Is my relationship with my stepdad normal?,,relationship stepdad normal
403,Relationships,What should I do after finding my boyfriend flirting on dating websites?,,find boyfriend flirt date website
404,Depression,How can I be happy again?,,happy
405,Relationships,Why do I keep getting with men that emotionally abuse me?,,keep get men emotionally abuse
406,Intimacy,Why do I hate sex?,,hate sex
407,Stress/Anxiety,How can I wake up without having an anxiety attack?,,wake without anxiety attack
408,Relationships,Why do my boyfriend and I have such trouble communicating?,,boyfriend trouble communicate
409,Intimacy,How can I have a normal sex life with my significant other when I keep having triggers from past sexual abuse?,,normal sex life significant keep trigger past sexual abuse
410,Relationship Dissolution,My husband wants a divorce after I was diagnosed with severe depression,,want divorce diagnose severe depression
411,Self-esteem,I'm a 19 year old male with low self esteem. I've always been very closed off about my feelings and problems,,year old male low self esteem 've always close feeling problem
413,Behavioral Change,Why do I think about death?,,think death
414,Stress/Anxiety,What are the best ways to reduce anxiety?,,best way reduce anxiety
415,Depression,Why am I sick to my stomach when I stand up?,,sick stomach stand
416,Sleep Improvement,Iâ€™ve suffered from insomnia and nightmares for about 3 years,,iâ€™ve suffer insomnia nightmare year
417,Self-esteem,How can I forgive myself?,,forgive
418,Self-esteem,How can I feel less self-conscious about my weight?,,feel less self-conscious weight
419,Social Relationships,Why do I feel like I can never meet people's expectations?,,feel never meet people expectation
420,Depression,Can i learn to be happy alone?,,learn happy alone
421,Relationships,How do I get my wife to forgive me?,,forgive
422,Family Conflict,Is it wrong that I don't love or even like my sister?,,wrong love even sister
423,Relationships,Should I let my boyfriend go?,,boyfriend
425,Stress/Anxiety,How can I get over my fear of public embarrassment?,,fear public embarrassment
426,Relationships,My girlfriend always brings up past events and talks negatively about them,,girlfriend always brings past event talk negatively
427,Depression,How do I get rid of depression?,,rid depression
428,Intimacy,My wife no longer wants sex,,longer want sex
429,Depression,Why do I feel worthless and tired?,,feel worthless tire
431,Counseling Fundamentals,What is the proper procedure if your child's therapist is leaving the practice to work elsewhere?,,proper procedure child therapist leave practice work elsewhere
432,Social Relationships,How do I make new friends?,,make new friend
433,Anger Management,I'm being emotionally abused by my dad. I need advice on how to hold my temper with him,,emotionally abuse dad need advice hold temper
434,Intimacy,My husband only has sex with me once a month or less,,sex month less
435,Relationships,I am paranoid that my boyfriend hiding something from me,,paranoid boyfriend hiding something
436,Family Conflict,I feel like there is a wedge between my daughter and I,,feel wedge daughter
437,Relationships,I'm worried that I will be single forever,,worried single forever
438,Sleep Improvement,How do I get rid of my nightmares?,,rid nightmare
439,Self-esteem,Why am I so angry and jealous?,,angry jealous
440,Parenting,How can I improve my relationship with my daughter?,,improve relationship daughter
441,Family Conflict,How do I get my dad to understand that I don't want him to date or marry my best friend?,,dad understand want date marry best friend
442,Social Relationships,The girls at my coming-of-age party don't like their dresses,,girl coming-of-age party dress
443,Self-esteem,How do you overcome an embarrassing mistake and forgive yourself?,,overcome embarrass mistake forgive
444,Depression,I think I have anxiety and depression. It has manifested an extreme distrust for others,,think anxiety depression manifest extreme distrust others
445,Relationships,"I'm a teenager, and I want to have a baby with my boyfriend",,teenager want baby boyfriend
446,Behavioral Change,Can anxiety make me think I heard something about me?,,anxiety make think heard something
447,Parenting,My daughter won't stop stealing and lying,,daughter stop steal lie
448,Relationships,My new husband is constantly talking to himself,,new constantly talk
449,Relationships,I'm not comfortable with my girlfriend showing off her body on social media,,comfortable girlfriend show body social medium
450,Intimacy,What can I do about my boyfriend being so close with another girl?,,boyfriend close another
451,Relationships,Why does my boyfriend threaten to leave every night?,,boyfriend threaten leave every night
452,LGBTQ,How can I tell my dad I'm a female-to-male transgender and I want to start binding?,,tell dad female-to-male transgender want start binding
453,Sleep Improvement,How do I stop feeling so awful?,,stop feel awful
454,Intimacy,How do I stay when the spark is gone?,,stay spark
455,LGBTQ,Iâ€™m afraid that Iâ€™m gay,,iâ€™m afraid iâ€™m gay
456,Depression,How do I make myself happy without someone who made me happy?,,make happy without someone make happy
457,Relationships,What can I do to keep my relationship as good as it could be?,,keep relationship good could
458,Parenting,Is it strange that a male family member always want to play with my toddler daughter?,,strange male family member always want play toddler daughter
459,Trauma/Grief/Loss,How can I get over my ex-boyfriend cheating on me?,,ex-boyfriend cheat
460,Relationships,How can I regain my boyfriend's trust back after being completely dishonest with him about a lot of things?,,regain boyfriend trust back completely dishonest lot thing
461,Self-esteem,How do I become more open minded or less irritable and happier?,,become open mind less irritable happier
462,Social Relationships,Why have I been feeling empty lately?,,feel empty lately
463,Relationships,My fiancÃ© cheated. How can we mend our relationship?,,fiancã© cheat mend relationship
464,LGBTQ,Why does my husband like dressing as a female in our bedroom?,,dress female bedroom
465,Relationships,Should I seek help or should my boyfriend and I seek help together?,,seek help boyfriend seek help together
466,Relationship Dissolution,How can I detach from my psychopathic boyfriend of seven years?,,detach psychopathic boyfriend seven year
467,Stress/Anxiety,Overcoming fears,,overcome fear
468,Relationships,How can I be with the boy who liked me?,,like
469,Stress/Anxiety,How can I manage my budding anxiety?,,manage budding anxiety
470,Social Relationships,Why do I always get ignored by people?,,always ignore people
471,Stress/Anxiety,How can I get some closure on an experience I regret?,,closure experience regret
472,Anger Management,How do I not be angry all the time?,,angry time
473,Workplace issues,"I'm in high school, and I want to be a psychologist",,high school want psychologist
474,Depression,I feel like my mother doesn't support me,,feel mother support
475,Intimacy,How can I not be afraid of commitment?,,afraid commitment
476,Relationships,"My boyfriend's family expects him to take them on dates, and he doesn't think anything's wrong",,boyfriend family expect take date think anything wrong
477,Workplace issues,How do I get over a coworker?,,coworker
478,Family Conflict,How do I deal with anger problems towards my mom,,deal anger problem towards mom
479,Relationships,Should I leave my boyfriend?,,leave boyfriend
480,Intimacy,I'm not sure if I want to trust my husband again,,sure want trust
481,Counseling Fundamentals,How do I see a therapist without having healthcare?,,see therapist without healthcare
482,Relationships,I don't know if I should end my relationship or try and stick through it,,end relationship try stick
483,Depression,I'm very depressed?,,depressed
484,Relationships,"I have a son with my girlfriend, but she is emotionally abusive. What do I do?",,son girlfriend emotionally abusive
485,Relationships,How do I handle being wanted in a relationship when I'm used to feeling unwanted?,,handle want relationship use feel unwanted
486,Depression,How can I deal with my depression?,,deal depression
487,Behavioral Change,What can I do about instant and major mood swings?,,instant major mood swing
488,Intimacy,I am afraid of sex,,afraid sex
489,Family Conflict,"I'm in a lesbian relationship, and my mother doesn't really approve",,lesbian relationship mother really approve
490,Marriage,My wife wants to spend time with her family instead of celebrating our anniversary,,want spend time family instead celebrate anniversary
492,Parenting,How do I quit letting little things bother me and be the mom that my kids deserve?,,quit let little thing bother mom kid deserve
493,Marriage,What makes my husband so selfish when it comes to my feelings?,,make selfish come feeling
494,Behavioral Change,How can I be happier and healthier?,,happier healthier
495,Social Relationships,Why do I feel so lonely these days?,,feel lonely day
496,Depression,"My ex-boyfriend is with someone new, and it hurts",,ex-boyfriend someone new hurt
497,Social Relationships,Is there something I should do to help my friend who is in an abusive relationship?,,something help friend abusive relationship
498,Relationships,Why do I feel like I always need to be in a relationship?,,feel always need relationship
499,Relationships,What can I do about my boyfriend's verbal abuse?,,boyfriend verbal abuse
500,Relationship Dissolution,How can I let go of a relationship when the woman is married?,,relationship woman married
501,Intimacy,Am I being picky when it comes to my boyfriend?,,picky come boyfriend
502,Marriage,"My husband seems to be changing, and I feel angry and hurt",,seem change feel angry hurt
503,Family Conflict,My son and family has different views about religion. How do I resolve these differences?,,son family different view religion resolve difference
504,Anger Management,How do I manage my anger?,,manage anger
505,Relationships,How can I ask my boyfriend about who he's texting?,,ask boyfriend texting
506,Parenting,Where does a child go for help?,,child help
507,Intimacy,My boyfriend isn't sexually performing like he did before I found out he was cheating,,boyfriend sexually perform found cheat
508,Relationships,"I have the perfect guy, but I'm not attracted to him",,perfect guy attract
509,Self-esteem,How come I feel ugly?,,come feel ugly
510,Relationships,Am I overreacting by breaking up with my boyfriend because he called me a particular profanity?,,overreact break boyfriend call particular profanity
512,Relationships,"I like a guy, but I worry that he thinks I'm creepy",,guy worry think creepy
514,Relationships,My girlfriend broke up with me but I want her back. What do I do?,,girlfriend broke want back
515,Relationships,How do I get out of an abusive relationship?,,abusive relationship
516,Relationships,My boyfriend doesn't compromise with me,,boyfriend compromise
517,Relationships,How can I be more confident around girls?,,confident around girl
518,Intimacy,How can I stop letting things that happened in my past ruin my current relationship?,,stop let thing happen past ruin current relationship
519,Relationships,Why do I feel like I'm always wrong in everything in my relationship?,,feel always wrong everything relationship
520,Stress/Anxiety,I need help coping with depression as a result of stress,,need help cop depression result stress
521,Marriage,"What does it mean when my wife says she loves me but isn't ""in love"" with me?",,mean say love love
522,Substance Abuse/Addiction,My daughter-in-law is smoking marijuana while pregnant,,daughter-in-law smoking marijuana pregnant
523,Family Conflict,My father has always been horrible to me,,father always horrible
524,Intimacy,How do I discuss my fetishes with wife when she is very sexually passive and insecure?,,discus fetish sexually passive insecure
525,Stress/Anxiety,Why do I always feel anxious?,,always feel anxious
526,Family Conflict,How can I avoid having past traumatic experiences affect my present and future?,,avoid past traumatic experience affect present future
527,Relationships,Why do I keep letting myself get cheated on?,,keep let cheat
528,Behavioral Change,What is a psychotic seizure?,,psychotic seizure
529,Relationships,I just feel so alone,,feel alone
530,Behavioral Change,Why am I not as comfortable around my boyfriend anymore?,,comfortable around boyfriend anymore
531,Anger Management,How can I control my temper?,,control temper
532,Marriage,My husband yells â€œenoughâ€ when I tell him he needs to change,,yell â€œenoughâ€ tell need change
533,Depression,"How do I get back to my fun, happy self again?",,back fun happy self
534,Relationships,I'm experiencing panic attacks when I'm physically separated from my girlfriend,,experience panic attack physically separate girlfriend
535,Parenting,How do I stop my step child from hurting my biological child?,,stop step child hurt biological child
536,Marriage,How do I get my husband to listen to me?,,listen
537,Trauma/Grief/Loss,How can I unblock my memories?,,unblock memory
538,Parenting,How can I help my toddler with toilet training when he gags every time he sees his poop?,,help toddler toilet training gag every time see poop
540,Behavioral Change,Why do I see and hear things that are not real?,,see hear thing real
541,Intimacy,Why do I always push my boyfriend away?,,always push boyfriend away
542,Depression,How do I move past my depression from being separated from the military?,,move past depression separate military
543,Sleep Improvement,I've been having the same dream since I was a child,,'ve dream since child
544,Trauma/Grief/Loss,How do I stop grieving my motherâ€™s death?,,stop grieve motherâ€™s death
545,Depression,Does my friend have depression?,,friend depression
546,Relationships,How do I pick between two guys?,,pick guy
547,Relationship Dissolution,I'm depressed because my wife is divorcing me and I haven't seen my child in a while,,depressed divorce see child
548,Family Conflict,How can I have a better relationship with my father?,,well relationship father
549,Depression,How can I stay strong?,,stay strong
550,Counseling Fundamentals,How does a counselor diagnose someone with a disorder?,,counselor diagnose someone disorder
551,Relationships,Why am I all of a sudden having issues communicating with the guy Iâ€™m dating?,,sudden issue communicate guy iâ€™m date
552,Relationship Dissolution,Should I move on from my ex-husband?,,move ex-husband
553,Relationships,I'm just not happy with my marriage,,happy marriage
554,Workplace issues,Is work burnout a real condition?,,work burnout real condition
555,Family Conflict,My brother never hangs out with me anymore,,brother never hang anymore
556,Social Relationships,I feel like my friends are ganging up on me,,feel friend gang
557,Depression,I'm scared to go to a doctor or take anti-depressants,,scar doctor take anti-depressants
558,Behavioral Change,Do narcissists get healed by rationalizing?,,narcissist heal rationalize
559,Relationships,How can I keep a long distance relationship going?,,keep long distance relationship
560,Intimacy,My wife won't do things she used to do,,thing use
561,LGBTQ,i feel like i was born in the wrong body,,feel born wrong body
562,Depression,How can I get back to being the person I truly am?,,back person truly
563,Relationship Dissolution,My husband and I are separated. I'm so scared of getting divorced,,separate scar get divorce
564,Family Conflict,"How can I free myself from my narcissistic, codependent, ill mother?",,free narcissistic codependent ill mother
565,Self-esteem,How can I atone for being cowardly?,,atone cowardly
566,Social Relationships,I hate talking to people much less strangers,,hate talk people much less stranger
567,Relationships,I feel like my fiance still in love with his ex,,feel fiance still love
568,Relationship Dissolution,How long do I wait on my ex-fiancÃ© to choose me over his ex-girlfriend?,,long wait ex-fiancã© choose ex-girlfriend
569,Intimacy,How can I get over my fear of accidental pregnancy to have sex again?,,fear accidental pregnancy sex
570,Intimacy,Should my wife and I seek any kind of counseling if she is convinced our marriage is over and has turned romantic love into platonic love?,,seek kind counsel convince marriage turn romantic love platonic love
571,Intimacy,I started dating someone and found out they lied about some thingsâ€”what should I do?,,start date someone found lie thingsâ€
572,Relationships,Why is it hard for me to express myself?,,hard express
574,LGBTQ,Am I a lesbian because I love a girl?,,lesbian love
575,Relationships,I have a crush on my bestfriend's brother,,crush bestfriend brother
576,Marriage,How can I let go of my dream wedding?,,dream wedding
577,Relationship Dissolution,Should I break up with my live-in girlfriend?,,break live-in girlfriend
578,Sleep Improvement,How do I overcome the nightmare from the domestic violence of a past relationship?,,overcome nightmare domestic violence past relationship
579,Stress/Anxiety,How do I handle my extreme paranoia?,,handle extreme paranoia
580,Self-esteem,Am I going to be alone forever?,,alone forever
581,LGBTQ,I'm scared to tell my family that I'm bisexual,,scar tell family bisexual
583,Social Relationships,Should I message my crush?,,message crush
584,Family Conflict,How can I create a better relationship with my adoptive mother?,,create well relationship adoptive mother
585,Marriage,How do I deal with my husband being mean to me?,,deal mean
586,Marriage,My wife is cheating and wonâ€™t tell me the truth,,cheat wonâ€™t tell truth
587,Counseling Fundamentals,Are some clients more difficult than others?,,client difficult others
588,Depression,How can I get over my depression and grief?,,depression grief
589,Depression,How can I manage my anxiety?,,manage anxiety
590,Depression,How do I deal with depression?,,deal depression
591,Social Relationships,My friends don't put effort into our relationship,,friend put effort relationship
592,Self-esteem,How can I be sure that I'm not choosing my relationship out of fear of being alone?,,sure choose relationship fear alone
593,Relationships,What can I communicate with a person who is sensitive to negativity in a disagreement?,,communicate person sensitive negativity disagreement
594,Marriage,How do I move on from my husband's cheating?,,move cheat
595,Intimacy,How do I get over a fear of pain during sex?,,fear pain sex
596,Stress/Anxiety,How can I stop overthinking and getting upset easily?,,stop overthinking get upset easily
597,Depression,How can I stop being depressed?,,stop depressed
598,Relationships,About a year ago I found out my husband had cheated on me,,year ago found cheat
599,Relationships,Why does my boyfriend think every some I like means something about our relationship?,,boyfriend think every mean something relationship
600,Marriage,How do I save my marriage?,,save marriage
601,Intimacy,I'm losing my husband because my lack of sex drive,,lose lack sex drive
602,Relationship Dissolution,How can I get my ex-girlfriend back?,,ex-girlfriend back
603,Stress/Anxiety,Is it normal to blame myself for someone else's actions?,,normal blame someone else action
604,Relationships,How come no man sparks my interest?,,come man spark interest
605,LGBTQ,"Why do I get aroused when women call me ""gay""?",,arouse woman call gay
606,Intimacy,How do I address my nephew's sexual behavior?,,address nephew sexual behavior
607,Relationships,Am I unworthy of being in a meaningful relationship?,,unworthy meaningful relationship
608,LGBTQ,I'm questioning my sexuality,,question sexuality
609,Counseling Fundamentals,Should I get a new therapist?,,new therapist
610,Stress/Anxiety,Can I control anxiety without medication?,,control anxiety without medication
612,Intimacy,How do I make my relationship with my girlfriend better?,,make relationship girlfriend well
613,Relationships,What can I do about my partner's parents not liking me?,,partner parent like
615,Intimacy,What can I do about my fiancÃ© putting his family first before our family?,,fiancã© put family first family
616,Relationships,How will I check if there really is something wrong with me?,,check really something wrong
617,Intimacy,How can I open up to the ones I love?,,open one love
618,Behavioral Change,What is a psychopath's thought process?,,psychopath thought process
619,Social Relationships,I am very self conscious about my body,,self conscious body
621,Relationships,"Why does my spouse tell me he doesn't want me, but also gets jealous of me?",,spouse tell want get jealous
622,LGBTQ,What can I do when my family doesn't accept my sexuality?,,family accept sexuality
624,Social Relationships,How can I stop treating people badly?,,stop treat people badly
625,Relationships,When should I give up on a relationship?,,give relationship
626,Parenting,The child I nanny hates me!,,child nanny hate
627,Social Relationships,Is my moodiness just a phase or do I need help?,,moodiness phase need help
628,Relationship Dissolution,How do I cope with a break up if we still live together?,,cope break still live together
629,Workplace issues,The organization I work for has told me I cannot go to my 12 step meetings,,organization work told step meeting
630,Social Relationships,My friend had lied about every aspect of her lifeâ€”what do I do?,,friend lie every aspect lifeâ€
632,Intimacy,My husband cheated before marriageâ€”what can I do?,,cheat marriageâ€
633,Sleep Improvement,How can I make the dreams and voices go away?,,make dream voice away
634,Intimacy,Is it normal to be more sensitive when I'm not intimate with my boyfriend?,,normal sensitive intimate boyfriend
635,Trauma/Grief/Loss,What can I do about my husband's black and white personality disorder?,,black white personality disorder
636,Relationship Dissolution,How do I get my ex-girlfriend back?,,ex-girlfriend back
637,Behavioral Change,How can I help myself and change my behavior?,,help change behavior
638,Counseling Fundamentals,what are Unethical Therapy Practices,,unethical therapy practice
639,Stress/Anxiety,What can I do if I need to talk to someone but I have no money?,,need talk someone money
640,Intimacy,Is it bad to fantasize about my mom?,,bad fantasize mom
641,Depression,Is my depression sabotaging my job search?,,depression sabotage job search
642,Marriage,How can my marriage be fixed?,,marriage fix
643,Intimacy,How do I fall back in love with my wife?,,fall back love
644,LGBTQ,I'm going through dysphoria,,dysphoria
645,Parenting,What do I do if my 7 year old says she want to kill herself?,,year old say want kill
646,Relationships,How do you get over someone cheating on you when you are trying to make it work?,,someone cheat try make work
647,Relationships,How do I deal with my boyfriend with a dark past?,,deal boyfriend dark past
648,Relationships,My boyfriend says he doesn't like to do things with me because we fight too much,,boyfriend say thing fight much
649,Behavioral Change,Why do I get a weird feeling every few months or so?,,weird feel every month
650,Parenting,I am bipolar and have been absolutely angry for over the last year at my daughter,,bipolar absolutely angry last year daughter
651,Self-esteem,How can I learn to like myself?,,learn
652,Relationships,My ex-boyfriend say we're finished but still acts like we aren't,,ex-boyfriend say 're finish still act
653,Relationships,My new husband constantly talks to himself,,new constantly talk
654,Relationships,How can I quit resenting my parents for the horrible life they provided for me?,,quit resent parent horrible life provide
655,Substance Abuse/Addiction,I found drugs in my moms drawerâ€”what should I do?,,found drug mom drawerâ€
656,Family Conflict,Is it normal for my mom to get mad easily?,,normal mom mad easily
657,Depression,What would happen if I got caught cutting myself in school?,,happen get caught cut school
658,Relationships,How can I get over the past in my relationship?,,past relationship
659,Family Conflict,How do I pick which parents house I want to live at?,,pick parent house want live
660,Family Conflict,Why can't my mom ever be proud of me?,,mom ever proud
661,Depression,How can I be happy as a stay-at-home mom?,,happy stay-at-home mom
662,Stress/Anxiety,"I can't focus when I'm doing work, even when I try to force myself to do it",,focus work even try force
663,Intimacy,I'm scared because my boyfriend is interested in BDSM,,scar boyfriend interested bdsm
664,Relationship Dissolution,How do I let go of someone who continues to hurt me,,someone continue hurt
666,Trauma/Grief/Loss,How do I get over rape trauma syndrome?,,rape trauma syndrome
667,Self-esteem,How do I learn to feel emotion?,,learn feel emotion
668,Stress/Anxiety,How do I shake self-doubt about sex?,,shake self-doubt sex
669,Stress/Anxiety,How can I care less about what people think?,,care less people think
670,Trauma/Grief/Loss,I just lost my grandpa,,lose grandpa
671,Relationships,The love of my life wants to try getting back together with her child's father,,love life want try get back together child father
672,Self-esteem,Why am I so nervous talking to people?,,nervous talk people
673,Counseling Fundamentals,How do I find a therapist for my family as a minor?,,find therapist family minor
674,Depression,I'm overwhelmed and depressed,,overwhelmed depressed
675,Relationships,How do I stop feeling jealous in my relationship?,,stop feel jealous relationship
676,Self-esteem,How can I be less confused about my feelings towards anything?,,less confuse feeling towards anything
677,Relationships,I recently lied to my fiancÃ© about my past,,recently lie fiancã© past
678,Self-esteem,How can I get into a relationship with a girl?,,relationship
679,Relationships,How do I not get depressed if my boyfriend doesn't want me anymore?,,depressed boyfriend want anymore
680,Workplace issues,How do I become more confident and face social situations?,,become confident face social situation
682,Social Relationships,My friends accusing me of having problems,,friend accuse problem
683,Family Conflict,How can I make my mom love me the same as my siblings?,,make mom love sibling
684,Stress/Anxiety,How can I avoid thinking much?,,avoid think much
685,Marriage,I had an affair almost two decades ago. Recently found out it resulted in a child,,affair almost decade ago recently found result child
686,Substance Abuse/Addiction,What can I do about my dad being on drugs?,,dad drug
687,Self-esteem,I weigh over 220 pounds and I am 16 years old,,weigh pound year old
688,Relationships,How do I know if I am obsessed or in love with someone?,,obsess love someone
689,Intimacy,My partner is bored of being intimate with me,,partner bore intimate
690,Stress/Anxiety,How is it that I fear going to sleep?,,fear sleep
691,Stress/Anxiety,What is social anxiety?,,social anxiety
692,Stress/Anxiety,Does my fiancÃ©e need a service dog?,,fiancã©e need service dog
693,Relationships,How do I start taking initiative in my relationship?,,start take initiative relationship
694,Marriage,How do couples keep from being at risk for divorce?,,couple keep risk divorce
695,Relationships,"i need answers to my angry, possessiveness, and urges",,need answer angry possessiveness urge
696,Stress/Anxiety,How do I know if I have social anxiety?,,social anxiety
697,Family Conflict,How do I choose the right path with my boyfriend?,,choose right path boyfriend
698,Social Relationships,Should I pull away from my best friend?,,pull away best friend
700,Social Relationships,How do I become less anxious in conversations?,,become less anxious conversation
701,Behavioral Change,How can I control my anxiety when I have Obsessive-Compulsive Disorder?,,control anxiety obsessive-compulsive disorder
702,Intimacy,How can I get my fiancÃ© to notice me again?,,fiancã© notice
704,Anger Management,Why did my boyfriend hit himself in the face during an argument?,,boyfriend hit face argument
705,Intimacy,How do I deal with a lack of intimacy and partner's addiction to solo sex and porn?,,deal lack intimacy partner addiction solo sex porn
707,Self-esteem,All I can do is cry and hate myself,,cry hate
708,Relationships,Why do I feel like I need a man in my life?,,feel need man life
709,Depression,I've been feeling sadness,,'ve feel sadness
710,Relationships,Why doesn't any guy want to date me?,,guy want date
711,Social Relationships,I did something I can't get over,,something
712,Intimacy,I tell my husband I love him. But I don't believe it or feel it,,tell love believe feel
713,Behavioral Change,I've been having breakdowns for no reason at all,,'ve breakdown reason
714,Sleep Improvement,Why do I feel like everyone hates me?,,feel everyone hate
715,Relationships,How can I address my grievances to my boyfriend?,,address grievance boyfriend
716,Relationship Dissolution,Why did my sister not defend me when my ex-husband said bad things about me?,,sister defend ex-husband bad thing
717,Relationships,My sexual partner wants me to reimburse him on a hotel room,,sexual partner want reimburse hotel room
718,Depression,How can I feel so empty even though I'm only in my early teens?,,feel empty even though early teen
719,Intimacy,Why do I still feel a connection with my ex-boyfriend that hurt me very badly?,,still feel connection ex-boyfriend hurt badly
720,Family Conflict,How can I be more open and honest with my dad?,,open honest dad
721,Relationships,I have feelings for one of my best friends,,feeling best friend
722,Family Conflict,Escalating disagreements between mother and wife,,escalate disagreement mother
723,Depression,Can a mental breakdown last 10-15 minutes?,,mental breakdown last minute
724,Substance Abuse/Addiction,My husband seems to end his relationships with women whenever he has an infant,,seem end relationship woman whenever infant
725,Trauma/Grief/Loss,How can I stop feeling sad at my mother's passing over a year ago?,,stop feel sad mother passing year ago
726,Relationships,My boyfriend wants me to sign a contract of things not to do,,boyfriend want sign contract thing
727,Parenting,How do I deal with bullying at school?,,deal bullying school
728,Relationships,"Me and my girlfriend of 7 years are looking for some free couples counseling in Modesto, CA",,girlfriend year look free couple counsel modesto
730,Behavioral Change,I think I have a fetish that might be getting out of control,,think fetish might get control
731,Relationships,How can I make girls love me and not just the attention I give them?,,make girl love attention give
732,Depression,I had a baby about 2 months ago and I really haven't been feeling myself,,baby month ago really feel
733,Family Conflict,How can I have a better relationship with my mom?,,well relationship mom
734,Intimacy,"My wife has a diminished libido, and is faking orgasms and denying it. What do I do?",,diminish libido fake orgasm deny
735,Family Conflict,What should I do when my parents won't let me see a therapist?,,parent see therapist
736,Trauma/Grief/Loss,How can I get therapy for posttraumatic stress disorder without any money or insurance?,,therapy posttraumatic stress disorder without money insurance
737,Relationships,How do I get my guy to fall back in love with me?,,guy fall back love
738,Marriage,What can i do if there is no trust in our relationship?,,trust relationship
740,Relationships,"I'm in a relationship, and I think I like my ex-boyfriend. Who do I choose?",,relationship think ex-boyfriend choose
741,Anger Management,How can I deal with the anger problems I've gained from my soon-to-be husband?,,deal anger problem 've gain soon-to-be
742,Relationships,I'm falling for my abusive and cheating ex-boyfriend,,fall abusive cheat ex-boyfriend
744,Stress/Anxiety,"How do I get over anxiety, depression, and isolation?",,anxiety depression isolation
745,Self-esteem,Why do I have low self-esteem and lack confidence?,,low self-esteem lack confidence
747,Relationships,My boyfriend wants to know every details of my sex life,,boyfriend want every detail sex life
748,Relationships,Is my boyfriend cheating?,,boyfriend cheat
749,Depression,Why am I upset or down every day even when nothing is going on?,,upset every day even nothing
750,Trauma/Grief/Loss,I feel guilty about my fathers death,,feel guilty father death
751,Parenting,Should I take my daughter to therapy?,,take daughter therapy
752,Social Relationships,Why do some people try to make a joke for everything and laugh at everything?,,people try make joke everything laugh everything
753,Parenting,Our grandson wants to talk to his estranged mom,,grandson want talk estrange mom
754,Social Relationships,How do I trust others?,,trust others
755,Intimacy,Should I stay with my manipulative husband?,,stay manipulative
756,Relationships,I'm scared of losing my girlfriend,,scar lose girlfriend
757,LGBTQ,How can I determine if I should be a boy or girl?,,determine
758,Self-esteem,I want to make my own decisions,,want make decision
759,Social Relationships,People make me sick,,people make sick
760,Relationships,My companion tells me he wants nothing to do with me,,companion tell want nothing
761,Social Relationships,Why is it so hard for me to talk publicly?,,hard talk publicly
762,Self-esteem,"I feel like I'm this dumb fat girl that no one likes, and everything is my fault. Are these normal teenage girl feelings?",,feel dumb fat like everything fault normal teenage feeling
763,Depression,How can I deal with my posttraumatic stress disorder?,,deal posttraumatic stress disorder
764,Trauma/Grief/Loss,How can I stop craving nostalgia?,,stop crave nostalgia
765,Behavioral Change,Do feelings of depersonalization go away?,,feeling depersonalization away
766,Family Conflict,How do I let go of the abuse my dad showed me?,,abuse dad show
767,Anger Management,Why am I constantly angry?,,constantly angry
768,Substance Abuse/Addiction,How do I fix my relationship my husband is smoker,,fix relationship smoker
769,Depression,I am 20 and miserable,,miserable
770,Behavioral Change,"How can I get ""out of my head"" and stop obsessive thoughts?",,head stop obsessive thought
771,Social Relationships,How do I repair my friendship?,,repair friendship
772,Self-esteem,Why am I starting to not like myself?,,start
773,Stress/Anxiety,How do I overcome my fear of eating in public?,,overcome fear eat public
775,Relationships,How can I get my boyfriend to see my point of view when we argue?,,boyfriend see point view argue
776,Self-esteem,How do I cope or motivate myself without pain,,cope motivate without pain
777,Depression,How can I stop thinking so negatively about myself?,,stop think negatively
778,Intimacy,How can I cope with being led on?,,cope lead
779,Intimacy,How do I deal with a weird fetish I'm afraid of opening up about?,,deal weird fetish afraid opening
780,Stress/Anxiety,How do I handle my binge eating when stressed,,handle binge eat stress
781,Relationships,I'm scared of hurting my boyfriend after he had a cyst removed from his testicles,,scar hurt boyfriend cyst remove testicle
782,Stress/Anxiety,Why am I so anxious in social situations?,,anxious social situation
783,Intimacy,Any suggestions for erection problems?,,suggestion erection problem
784,Depression,Why can't I laugh anymore?,,laugh anymore
785,Depression,Should I go back on my medicine?,,back medicine
786,Relationships,How can my boyfriend forgive me when I can't forgive myself?,,boyfriend forgive forgive
787,Depression,How do I balance school and life?,,balance school life
788,Relationships,Why wonâ€™t my boyfriend for almost two years talk about our future together when he says heâ€™s in love with me?,,wonâ€™t boyfriend almost year talk future together say heâ€™s love
789,Behavioral Change,Why do I want to be the opposite sex so much?,,want opposite sex much
